code,abbr,Name,State_name,value,Latitude,Longitude,returned address
558,BD,Bidar,Karnataka,10.35519286,17.9148799,77.5046101,"Bidar, Karnataka, India"
417,BJ,Bijapur,Chhattisgarh,7.902676018,16.8301708,75.710031,"Vijayapura, Karnataka, India"
557,BJ,Bijapur,Karnataka,61.14876778,16.8301708,75.710031,"Vijayapura, Karnataka, India"
134,BI,Bijnor,Uttar Pradesh,14.80240247,29.3724422,78.1358472,"Bijnor, Uttar Pradesh 246701, India"
101,BI,Bikaner,Rajasthan,18.03093737,28.0229348,73.3119159,"Bikaner, Rajasthan, India"
406,BI,Bilaspur,Chhattisgarh,2.404989584,22.0796251,82.1391412,"Bilaspur, Chhattisgarh, India"
30,BI,Bilaspur,Himachal Pradesh,12.92222002,22.0796251,82.1391412,"Bilaspur, Chhattisgarh, India"
334,BI,Birbhum,West Bengal,19.82409796,23.8401675,87.6186379,"Birbhum, West Bengal, India"
275,BI,Bishnupur,Manipur,0,23.0678795,87.3165222,"Bishnupur, West Bengal 722122, India"
355,BO,Bokaro,Jharkhand,6.047528766,23.6692956,86.151112,"Bokaro Steel City, Jharkhand, India"
319,BO,Bongaigaon,Assam,13.34454064,26.5009992,90.5352356,"Bongaigaon, Assam, India"
149,BD,Budaun,Uttar Pradesh,17.18462444,28.0311101,79.1271229,"Budaun, Uttar Pradesh 243601, India"
142,BU,Bulandshahar,Uttar Pradesh,21.82917039,28.406963,77.8498292,"Bulandshahr, Uttar Pradesh 203001, India"
500,BU,Buldana,Maharashtra,20.69553772,20.4560976,76.3637285,"Buldhana, Maharashtra, India"
121,BU,Bundi,Rajasthan,16.94562816,25.4305144,75.6499025,"Bundi, Rajasthan 323001, India"
467,BU,Burhanpur,Madhya Pradesh,44.15667015,21.3193875,76.2224273,"Burhanpur, Madhya Pradesh 450331, India"
